model,fold,tn,fp,fn,tp,accuracy,precision,recall,f1_score,brier_score,roc_auc,pr_auc,log_loss
HistGradientBoostingClassifier,1,717,24,45,181,0.9286452947259566,0.8829268292682927,0.8008849557522124,0.839907192575406,0.054790233796981135,0.9626551061110912,0.916988800393999,0.1932240082360872
HistGradientBoostingClassifier,2,730,13,55,169,0.9296794208893485,0.9285714285714286,0.7544642857142857,0.8325123152709359,0.05224114166056634,0.961167323591617,0.9255834701545095,0.18964859805264941
HistGradientBoostingClassifier,3,724,20,61,162,0.9162357807652534,0.8901098901098901,0.726457399103139,0.8,0.0662751381915505,0.9403267997492647,0.8842136903148261,0.23907146104702023
HistGradientBoostingClassifier,4,714,28,57,167,0.912008281573499,0.8564102564102564,0.7455357142857143,0.7971360381861575,0.06924179777097678,0.9408692722371967,0.8867935858443561,0.2632599232405365
HistGradientBoostingClassifier,5,722,19,60,165,0.9182194616977226,0.8967391304347826,0.7333333333333333,0.8068459657701712,0.062224539336730916,0.9503523766681661,0.901801742516167,0.21655480024443052
